id,name,location,capacity,generic name,tagname
113,Seaside Lagoon,"Redondo Beach, CA",,,Seaside Lagoon
84,Electric Forest,"Rothbury, MI",,,Electric Forest
85,The Depot,"Salt Lake City, UT",1200,,The Depot
86,House of Blues,"San Diego, CA",1500,TRUE,House of Blues (San Diego)
87,Golden Gate Park,"San Francisco, CA",,,Golden Gate Park
120,Saratoga Performing Arts Center,"Saratoga Springs, NY",25100,,Saratoga Performing Arts Center
152,Johnny Mercer Theatre,"Savannah, GA",2566,,Johnny Mercer Theatre
88,Montage Mountain,"Scranton, PA",,,Montage Mountain
89,The Showbox,"Seattle, WA",1100,,The Showbox
146,Shelburne Museum,"Shelburne, VT",,,Shelburne Museum
116,Snowshoe Mountain Resort,"Snowshoe, WV",,,Snowshoe Mountain Resort
24,Higher Ground,"South Burlington, VT",,,Higher Ground
91,St Augustine Amphitheatre,"St Augustine, FL",,,St Augustine Amphitheatre
92,The Pageant,"St Louis, MO",2300,,The Pageant
151,Palace Theatre,"St Paul, MN",,TRUE,Palace Theatre (St Paul)
100,Vinoy Park,"St Petersburg, FL",,,Vinoy Park
90,Frost Amphitheater,"Stanford, CA",8000,,Frost Amphitheater
93,Berry Hill Farm,"Summit Point, WV",,,Berry Hill Farm
94,Landmark Theatre,"Syracuse, NY",3000,TRUE,Landmark Theatre (Syracuse)
123,Curtis Hixon Waterfront Park,"Tampa, FL",,,Curtis Hixon Waterfront Park
95,Telluride Town Park,"Telluride, CO",,,Telluride Town Park
96,Legend Valley,"Thornville, OH",,,Legend Valley
97,Tower Theater,"Upper Darby, PA",3119,,Tower Theater
114,Gerald R. Ford Amphitheater,"Vail, CO",2560,,Gerald R. Ford Amphitheater
155,The Dome,"Virginia Beach, VA",,,The Dome
112,(private show),"Washington, CT",,,(private show)
98,The Anthem,"Washington, DC",6000,,The Anthem
99,The 9:30 Club,"Washington, DC",1200,,The 9:30 Club
133,Windham Mountain,"Windham, NY",,,Windham Mountain
